"","tipo","Barrio","cant_hab","cant_bath","superficie","precio"
"35977","Departamento","San Cristobal",3,1,80,175000
"35978","Departamento","San Cristobal",3,2,86,182000
"35979","Departamento","Villa Urquiza",3,2,60,240000
"35980","Departamento","Parque Chacabuco",3,1,58,115900
"35981","Departamento","Villa del Parque",3,2,65,168800
"35982","PH","Almagro",4,4,120,280000
"35983","PH","Liniers",4,2,80,130000
"35984","PH","Palermo",5,1,180,387900
"35985","PH","Floresta",4,3,197,269500
"35986","PH","Paternal",4,1,115,118000
"35987","PH","Versalles",4,1,130,150000
"35988","PH","Villa Devoto",4,2,154,289000
"35989","PH","Parque Avellaneda",4,1,86,117000
"35990","PH","Villa Pueyrredón",4,2,104,249000
"35991","Departamento","Boedo",4,1,78,110000
"35992","Departamento","Flores",4,2,77,150000
"35993","Departamento","Flores",4,1,90,230000
"35994","Departamento","Almagro",4,2,67,185000
"35995","Departamento","Almagro",4,2,107,270000
"35996","Departamento","Almagro",4,2,95,299000
"35997","Departamento","Almagro",4,1,72,172000
"35998","Departamento","Liniers",4,1,83,125000
"35999","Departamento","Palermo",4,2,99,210000
"36000","Departamento","Palermo",4,3,104,420000
"36001","Departamento","Palermo",4,1,79,198000
"36002","Departamento","Belgrano",4,2,133,285000
"36003","Departamento","Belgrano",4,1,143,470000
"36004","Departamento","Recoleta",7,2,145,495000
"36005","Departamento","Recoleta",4,2,112,379000
"36006","Departamento","Caballito",4,1,138,325000
"36007","Departamento","Caballito",4,2,107,350000
"36008","Departamento","Caballito",4,1,100,322000
"36009","Departamento","Caballito",4,4,134,299000
"36010","Departamento","Colegiales",4,1,63,135900
"36011","Departamento","Villa Crespo",4,2,103,220000
"36012","Departamento","Villa Devoto",4,2,122,381000
"36013","Departamento","San Cristobal",4,2,110,275000
"36014","Departamento","Villa Pueyrredón",4,1,77,175000
"36015","PH","Liniers",5,3,185,220000
"36016","PH","Parque Patricios",5,1,140,228000
"36017","Casa","Paternal",6,2,215,278000
"36018","Casa","Mataderos",5,2,200,150000
"36019","Departamento","Belgrano",5,3,280,600000
"36020","Departamento","Belgrano",5,2,185,540000
"36021","Departamento","Recoleta",6,3,231,880000
"36022","Departamento","Balvanera",4,4,139,275000
"36023","Departamento","Monserrat",5,2,107,228000
"36024","PH","Coghlan",2,1,32,85000
"36025","PH","Belgrano",4,2,190,395000
"36026","Casa","Boedo",4,3,136,290000
"36027","Casa","Agronomía",6,3,317,570000
"36028","Departamento","Boca",2,1,48,80000
"36029","Departamento","Once",2,1,45,86000
"36030","Departamento","Abasto",1,1,33,97812
"36031","Departamento","Flores",1,1,52,102000
"36032","Departamento","Flores",5,2,180,395000
"36033","Departamento","Flores",4,1,100,235000
